10.1111/tpj.14781 | Azospirillum lipoferum | drought | maize | "In this context, the research was designed to study the effects of Azospirillum lipoferum strain (Accession no. GQ255950) inoculation on biochemical attributes and growth of maize plant under drought stress." | NO
10.1016/j.micres.2020.126439 | Arthrobacter protophormiae | salt | Pisum sativum | "Moreover, it has been reported (Barnawal et al., 2014) that the Arthrobacter protophormiae, an ACC deaminase-containing bacterium, interacts with other beneficial microorganism, enhancing rhizobial nodulation and mycorrhizal colonization, thereby inducing salt tress tolerance to Pisum sativum plants; this is also the case for several other rhizobia strains Nascimento et al., 2016a, 2016b; Nascimento et al., 2019)." | YES
10.1016/j.micres.2020.126439 | Bacillus | salt | Capsicum annuum | "Three isolates of the genus Bacillus stood out among the others, as they significantly increased the plant fresh and dry weight, the length of the roots and the aerial portions of pepper plants (Capsicum annuum L.) under salt stress." | YES
10.1016/j.micres.2020.126439 | Bacillus | salt | Mesembryanthemum crystallinum | "In another report, a strain of Bacillus that is hypertolerant (up to 1250 mM of salt) to salt was isolated from the rhizosphere of the ice-plant Mesembryanthemum crystallinum L. (a highly salttolerant plant); this strain contained ACC deaminase activity and promoted the growth of the plant roots and the fresh weight of M. crystallinum in saline conditions (up to 300 mM) (Mahmood et al., 2019)." | YES
10.1016/j.micres.2020.126439 | Bacillus subtilis | salt | maize | "Ferreira et al. (2018) also reported the isolation of rhizospheric strains of Bacillus subtilis as being able to promote the growth of plants of agronomic interest, such as maize, under saline conditions; however, unsurprisingly, ACC deaminase activity was not the only important mechanism for promoting plant growth that these strains possessed." | YES
10.1371/journal.pgen.1007273 | Enterobacter | salt | Indigofera argentea | "Here we report that Enterobacter sp. SA187, an endophytic bacterium isolated from root nodules of the indigenous desert plant Indigofera argentea [31], significantly increased yield of the agronomically important crop alfalfa (Medicago sativa) in field trials under both normal and salt stress conditions, demonstrating that SA187 has a high potential to improve agriculture under desert conditions." | YES
10.1073/pnas.2107417118 | Enterobacter | salt | Arabidopsis | "We show that the sulfur metabolisms in both PGPB Enterobacter sp. SA187 and Arabidopsis plants play a key role in plant salt stress tolerance." | YES
10.1073/pnas.2107417118 | Enterobacter | salt | Arabidopsis | "Enterobacter sp. SA187 provides salt tolerance to the crop alfalfa in open field trials and also to Arabidopsis undercontrolled laboratory conditions and can serve as a good model system to understand how beneficial microbes induce stress tolerance to plants." | YES
10.1007/s00284-010-9642-1 | Bacillus | drought | sunflower | "Taken together, these findings suggest that Bacillus sp. are more effective than Achromobacter in helping sunflower seedlings cope with water stress conditions." | YES
10.1007/s00284-010-9642-1 | Achromobacter | drought | sunflower | "Taken together, these findings suggest that Bacillus sp. are more effective than Achromobacter in helping sunflower seedlings cope with water stress conditions." | YES
10.3389/fmicb.2017.02104 | Curtobacterium flaccumfaciens | salt | barley | "For example, bacterial strains Curtobacterium flaccumfaciens E108 and Ensifer garamanticus E110 isolated from Hordeum secalinum stimulated plant biomass and salt stress resistance in barley (Cardinale et al., 2015)." | YES
10.3389/fmicb.2017.02104 | Ensifer garamanticus | salt | barley | "For example, bacterial strains Curtobacterium flaccumfaciens E108 and Ensifer garamanticus E110 isolated from Hordeum secalinum stimulated plant biomass and salt stress resistance in barley (Cardinale et al., 2015)." | YES
10.3389/fmicb.2017.02104 | Curtobacterium flaccumfaciens | salt | Hordeum secalinum | "For example, bacterial strains Curtobacterium flaccumfaciens E108 and Ensifer garamanticus E110 isolated from Hordeum secalinum stimulated plant biomass and salt stress resistance in barley (Cardinale et al., 2015)." | NO
10.3389/fmicb.2017.02104 | Ensifer garamanticus | salt | Hordeum secalinum | "For example, bacterial strains Curtobacterium flaccumfaciens E108 and Ensifer garamanticus E110 isolated from Hordeum secalinum stimulated plant biomass and salt stress resistance in barley (Cardinale et al., 2015)." | NO
10.3389/fmicb.2017.02104 | Bacillus licheniformis | salt | wheat | "The root-colonizing halotolerant bacterium B. licheniformis HSW-16 was able to mitigate salt stress-induced damage and stimulate the growth of wheat through the production of IAA under saline soil conditions (Singh and Jha, 2016)." | YES
10.3389/fmicb.2017.02104 | Pseudomonas | salt | maize | "In another study, Pseudomonas spp. isolated from extreme environments (close to the sites of volcanos) synthesized IAA under salt stress (500 mM NaCl) and high temperature (40◦C), and they were able to stimulate increases in the root and shoot biomass of maize (Mishra et al., 2017)." | YES
10.3389/fmicb.2017.02104 | Pseudomonas | heat | maize | "In another study, Pseudomonas spp. isolated from extreme environments (close to the sites of volcanos) synthesized IAA under salt stress (500 mM NaCl) and high temperature (40◦C), and they were able to stimulate increases in the root and shoot biomass of maize (Mishra et al., 2017)." | YES
10.3389/fmicb.2017.02104 | Pseudomonas putida | drought | Trifolium repens | "Marulanda et al. (2009) observed increased plant biomass in clover (Trifolium repens L.) after seed treatment with P. putida and B. megaterium under drought, and they found a correlation between these changes and increased IAA." | YES
10.3389/fmicb.2017.02104 | Bacillus megaterium | drought | Trifolium repens | "Marulanda et al. (2009) observed increased plant biomass in clover (Trifolium repens L.) after seed treatment with P. putida and B. megaterium under drought, and they found a correlation between these changes and increased IAA." | YES
10.3389/fmicb.2017.02104 | Bacillus subtilis | drought | Platycladus orientalis | "A similar observation was reported by Liu F. et al. (2013) in which cytokinin-producing B. subtilis stimulated root biomass of Platycladus orientalis (oriental thuja) by 13.9% and increased cytokinin concentration of 47.52% in leaves relative to respective controls under water stress conditions." | YES
10.3389/fmicb.2017.02104 | Aspergillus fumigatus | salt | soybean | "Aspergillus fumigatus produced gibberellins, such as GA4 (24.8 ng mL−1 ), GA9 (1.2 ng mL−1 ), and GA12 (9.8 ng mL−1 ), which increased photosynthetic pigments, and shoot biomass of soybean under salt stress (Khan et al., 2011)." | YES
10.3389/fmicb.2017.02104 | Azospirillum lipoferum | drought | wheat | "Azospirillum lipoferum, which synthesizes GA, increased the stress tolerance of wheat to drought (Creus et al., 2004)." | YES
10.3389/fmicb.2017.02104 | Phoma glomerata | salt | cucumber | "Waqas et al. (2012) also reported improved salt and drought stress tolerance in cucumber plant by GA-producing endophytic fungi Phoma glomerata LWL2 LWL3, which produced GA1 (8.720 ng mL−1 ), GA3 (2.420 ng mL−1 ) and GA4 (0.220 ng mL−1 ), and Penicillium sp., which produced GA1 (5.33 ng mL−1 ) and GA3 (3.42 ng mL−1 ) in culture filtrate." | YES
10.3389/fmicb.2017.02104 | Penicillium | salt | cucumber | "Waqas et al. (2012) also reported improved salt and drought stress tolerance in cucumber plant by GA-producing endophytic fungi Phoma glomerata LWL2 LWL3, which produced GA1 (8.720 ng mL−1 ), GA3 (2.420 ng mL−1 ) and GA4 (0.220 ng mL−1 ), and Penicillium sp., which produced GA1 (5.33 ng mL−1 ) and GA3 (3.42 ng mL−1 ) in culture filtrate." | YES
10.3389/fmicb.2017.02104 | Phoma glomerata | drought | cucumber | "Waqas et al. (2012) also reported improved salt and drought stress tolerance in cucumber plant by GA-producing endophytic fungi Phoma glomerata LWL2 LWL3, which produced GA1 (8.720 ng mL−1 ), GA3 (2.420 ng mL−1 ) and GA4 (0.220 ng mL−1 ), and Penicillium sp., which produced GA1 (5.33 ng mL−1 ) and GA3 (3.42 ng mL−1 ) in culture filtrate." | YES
10.3389/fmicb.2017.02104 | Penicillium | drought | cucumber | "Waqas et al. (2012) also reported improved salt and drought stress tolerance in cucumber plant by GA-producing endophytic fungi Phoma glomerata LWL2 LWL3, which produced GA1 (8.720 ng mL−1 ), GA3 (2.420 ng mL−1 ) and GA4 (0.220 ng mL−1 ), and Penicillium sp., which produced GA1 (5.33 ng mL−1 ) and GA3 (3.42 ng mL−1 ) in culture filtrate." | YES
10.3389/fmicb.2017.02104 | Bacillus licheniformis | drought | grapevine | "Salomon et al. (2014) observed ABA production by B. licheniformis and P. fluorescens that stimulated plant growth of grapevine under water stress by inducing ABA synthesis." | YES
10.3389/fmicb.2017.02104 | Pseudomonas fluorescens | drought | grapevine | "Salomon et al. (2014) observed ABA production by B. licheniformis and P. fluorescens that stimulated plant growth of grapevine under water stress by inducing ABA synthesis." | YES
10.3389/fmicb.2017.02104 | Achromobacter xylosoxidans | drought | sunflower | "Similar to the effects of other phytohormones, SA-producing endophytic bacteria A. xylosoxidans and B. pumilus also enhanced the biomass of sunflower seedlings under drought conditions (Forchetti et al., 2010)." | YES
10.3389/fmicb.2017.02104 | Bacillus pumilus | drought | sunflower | "Similar to the effects of other phytohormones, SA-producing endophytic bacteria A. xylosoxidans and B. pumilus also enhanced the biomass of sunflower seedlings under drought conditions (Forchetti et al., 2010)." | YES
10.3389/fmicb.2017.02104 | Serratia marcescens | salt | maize | "Similar observations were reported by Lavania and Nautiyal (2013) in which salt tolerant SA-producing Serratia marcescens NBRI1213 stimulated root and shoot growth as well as nutrient acquisition by maize, and furthermore increased plant stress tolerance to salinity." | YES
10.3389/fmicb.2017.02104 | Trichoderma asperellum | salt | cucumber | "Trichoderma asperellum Q1, which produces IAA, GA and ABA, stimulated the biomass fresh weight of cucumber seedlings under salt stress in comparison to untreated control plants (Zhao and Zhang, 2015)." | YES
10.3389/fmicb.2017.02104 | Trichoderma asperellum | salt | cucumber | "In addition, the concentration of phytohormones IAA, GA and ABA in cucumber leaves were also increased after application of Trichoderma asperellum Q1 under salt stress." | YES
10.1007/s00572-013-0477-z | Glomus fasciculatum | heat | Cyclamen persicum | "The influence of the arbuscular mycorrhizal (AM) fungus, Glomus fasciculatum, on the growth, heat stress responses and the antioxidative activity in cyclamen (Cyclamen persicum Mill.) plants was studied." | NO
10.1007/s00572-013-0477-z | Glomus fasciculatum | heat | Cyclamen | "The cyclamen plants inoculated with G. fasciculatum grew better than the nonmycorrhizal (control) plants in the presence and absence of heat stress." | YES
10.1007/s00572-013-0477-z | Glomus versiforme | drought | citrus | "This is consistent with previous observations on the leaves and roots of citrus seedlings colonised by Glomus versiforme during drought (Wu et al. 2006), shoots of tomato plants colonised by Glomus intraradices subjected to NaCl salinity (Hajiboland et al. 2010), leaves of tomato plants colonised by Glomus mosseae under low temperature stress (Latef and Chaoxing 2011) and leaves and roots of maize plants colonised by Glomus etunicatum during temperature stress (Zhu et al. 2010a)." | YES
10.1007/s00572-013-0477-z | Glomus intraradices | salt | tomato | "This is consistent with previous observations on the leaves and roots of citrus seedlings colonised by Glomus versiforme during drought (Wu et al. 2006), shoots of tomato plants colonised by Glomus intraradices subjected to NaCl salinity (Hajiboland et al. 2010), leaves of tomato plants colonised by Glomus mosseae under low temperature stress (Latef and Chaoxing 2011) and leaves and roots of maize plants colonised by Glomus etunicatum during temperature stress (Zhu et al. 2010a)." | YES
10.1007/s00572-013-0477-z | Glomus mosseae | cold | tomato | "This is consistent with previous observations on the leaves and roots of citrus seedlings colonised by Glomus versiforme during drought (Wu et al. 2006), shoots of tomato plants colonised by Glomus intraradices subjected to NaCl salinity (Hajiboland et al. 2010), leaves of tomato plants colonised by Glomus mosseae under low temperature stress (Latef and Chaoxing 2011) and leaves and roots of maize plants colonised by Glomus etunicatum during temperature stress (Zhu et al. 2010a)." | YES
10.1007/s00572-013-0477-z | Glomus etunicatum | heat | maize | "This is consistent with previous observations on the leaves and roots of citrus seedlings colonised by Glomus versiforme during drought (Wu et al. 2006), shoots of tomato plants colonised by Glomus intraradices subjected to NaCl salinity (Hajiboland et al. 2010), leaves of tomato plants colonised by Glomus mosseae under low temperature stress (Latef and Chaoxing 2011) and leaves and roots of maize plants colonised by Glomus etunicatum during temperature stress (Zhu et al. 2010a)." | YES
10.1007/s00572-013-0477-z | Glomus mosseae | drought | soybean | "However, such enzyme activation was not observed in soybean roots colonised by G. mosseae under drought stress conditions (Porcel et al. 2003), indicating that effects depend on plant–fungus combinations." | NO
10.15252/embr.202051049 | Enterobacter | heat | Indigofera argentea | "Here, we report that the root endophytic bacterium Enterobacter sp. SA187, isolated from root nodules of the indigenous desert plant Indigofera argentea(Andres-Barraoet al,2017), significantly enhances thermotolerance in wheat under laboratory and field conditions without significantly affecting the endogenous microbiome composition." | NO
10.15252/embr.202051049 | Enterobacter | heat | wheat | "Here, we report that the root endophytic bacterium Enterobacter sp. SA187, isolated from root nodules of the indigenous desert plant Indigofera argentea(Andres-Barraoet al,2017), significantly enhances thermotolerance in wheat under laboratory and field conditions without significantly affecting the endogenous microbiome composition." | YES
10.1128/AEM.01047-06 | Burkholderia phytofirmans | cold | Vitis vinifera | "In vitro inoculation of Vitis vinifera L. cv. Chardonnay explants with a plant growth-promoting rhizobacterium, Burkholderia phytofirmans strain PsJN, increased grapevine growth and physiological activity at a low temperature." | YES
10.1128/AEM.01047-06 | Burkholderia phytofirmans | cold | Vitis vinifera | "In summary, B. phytofirmans strain PsJN inoculation stimulates grapevine growth and improves its ability to withstand cold stress." | YES
10.1128/AEM.01047-06 | Burkholderia phytofirmans | cold | Vitis vinifera | "In this study, we tested a known plant growth-promoting bacterium, Burkholderia phytofirmans strain PsJN, for its ability to enhance chilling resistance in grapes." | NO
10.1128/AEM.01047-06 | Burkholderia phytofirmans | heat | Vitis vinifera | "In this study, we tested a known plant growth-promoting bacterium, Burkholderia phytofirmans strain PsJN, for its ability to enhance chilling resistance in grapes. This bacterium is capable of epiphytic and endophytic colonization of grapevine tissues and organs (4, 12) and has been shown to protect plants against heat stress (9)." | YES
10.1128/AEM.01047-06 | Burkholderia phytofirmans | cold | Vitis vinifera | "Plantlet bacterization with Burkholderia phytofirmans strain PsJN had a pronounced effect on grapevine growth, development, and responses to low temperatures, i.e., diminished rates of biomass reduction and electrolyte leakage during chilling and stimulated postchilling recovery." | YES
10.1126/science.1136237 | Curvularia protuberata | heat | Dichanthelium lanuginosum | "A plant-fungal symbiosis between a tropical panic grass from geothermal soils, Dichanthelium lanuginosum, and the fungus Curvularia protuberata allows both organisms to grow at high soil temperatures in Yellowstone National Park (YNP) (2)." | YES
10.1126/science.1136237 | Curvularia protuberata | heat | Solanum lycopersicum | "Thus, we tested the ability of the C. protuberata isolates to confer heat tolerance to tomato (Solanum lycopersicum)." | NO
10.1073/pnas.2020990118 | Turnip mosaic potyvirus | drought | Arabidopsis thaliana | "It has been shown that the combination of drought and infection with turnip mosaic virus (TuMV) (species Turnip mosaic potyvirus, genus Potyvirus, family Potyviridae) affects different signaling networks in Arabidopsis thaliana (L.) Heynh plants (12)." | NO
10.1073/pnas.2020990118 | plum pox virus | drought | Nicotiana benthamiana | "Previously, Aguilar et al. (34) observed that the drought tolerance induced by potato virus X and plum pox virus in Nicotiana benthamiana and A. thaliana was caused by the over-expression of a virulence factor." | YES
10.1073/pnas.2020990118 | plum pox virus | drought | Arabidopsis thaliana | "Previously, Aguilar et al. (34) observed that the drought tolerance induced by potato virus X and plum pox virus in Nicotiana benthamiana and A. thaliana was caused by the over-expression of a virulence factor." | YES
10.1073/pnas.2020990118 | potato virus X | drought | Nicotiana benthamiana | "Previously, Aguilar et al. (34) observed that the drought tolerance induced by potato virus X and plum pox virus in Nicotiana benthamiana and A. thaliana was caused by the over-expression of a virulence factor." | YES
10.1073/pnas.2020990118 | potato virus X | drought | Arabidopsis thaliana | "Previously, Aguilar et al. (34) observed that the drought tolerance induced by potato virus X and plum pox virus in Nicotiana benthamiana and A. thaliana was caused by the over-expression of a virulence factor." | YES
10.1073/pnas.2020990118 | cauliflower mosaic virus | drought | Arabidopsis thaliana | "They studied the response of multiple A. thaliana accessions to cauliflower mosaic virus infection in drought conditions." | NO
10.1094/MPMI-07-21-0185-FI | Pseudomonas syringae | salt | tomato | "To this end, we determined the effects of preinoculation with different strains of P. syringae pv. tomato DC3000 on salt stress tolerance: strain DC3000 ΔhrpS, impaired in the expression of the type III effectors (Hutcheson et al. 2001) and conventionally used as a PTI trigger, and strain DC3000 AvrRpm1 or AvrRps4, inducing ETI conferred by the CC-NLR RPM1 and the TIR-NLR pair RRS1-S/RPS4, respectively (Gassmann et al. 1999; Grant et al. 1995; Saucet et al. 2015)." | NO
10.1094/MPMI-07-21-0185-FI | Pseudomonas syringae | salt | tomato | "Preinoculation with P. syringae pv. tomato DC3000 ΔhrpS significantly enhanced the survival rate of seedlings under salt stress, whereas strain DC3000 AvrRpm1 or strain DC3000 AvrRps4 did not (Fig. 6A)." | NO
10.1186/s12866-020-01822-7 | Bacillus cereus | heat | soybean | "The current findings suggest that B. cereus SA1 could be used as a thermotolerant bacterium for the mitigation of heat stress damage in soybean plants and could be commercialized as a biofertilizer only in case found non-pathogenic." | YES
10.1186/s12866-020-01822-7 | Bacillus cereus | heat | soybean | "B. cereus SA1 inoculation enhanced the chlorophyll fluorescence and photosynthetic pigments of soybean plants under normal growth conditions as well as under heat stress." | YES
10.3389/fpls.2022.870626 | Streptomyces laurentii | drought | great millet | "A study conducted in India involved the inoculation of great millet plants with strains of Streptomyces laurentii (EU-LWT3-69) and Penicillium sp. (EU-DSF-10), which was followed by exposure to drought stress (Kour et al., 2020a)." | NO
10.3389/fpls.2022.870626 | Penicillium | drought | great millet | "A study conducted in India involved the inoculation of great millet plants with strains of Streptomyces laurentii (EU-LWT3-69) and Penicillium sp. (EU-DSF-10), which was followed by exposure to drought stress (Kour et al., 2020a)." | NO
10.3389/fpls.2022.870626 | Enterobacter ludwigii | drought | alfalfa | "In another study conducted by Kang et al. (2021), two Enterobacter ludwigii strains, namely, AFFR02 and Mj1212, were isolated and inoculated into alfalfa plants; subsequently, their growth attributes, hormones, and mineral concentrations were assessed. The data showed that bacterial inoculation significantly rescued plants from drought stress." | YES
10.3389/fpls.2022.870626 | Rhodotorula mucilaginosa | drought | Lactuca sativa | "Silambarasan et al. (2019) mixed the Rhodotorula mucilaginosa strain CAM4 with sawdust at a ratio of 1–5%, and the formulation was applied to Lactuca sativa. The inoculated microbial formulations displayed tolerance to drought stress at various developmental stages." | YES
10.3389/fpls.2022.870626 | Periconia macrospinosa | drought | tomato | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | YES
10.3389/fpls.2022.870626 | Periconia macrospinosa | salt | tomato | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | YES
10.3389/fpls.2022.870626 | Periconia macrospinosa | drought | cucumber | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | YES
10.3389/fpls.2022.870626 | Periconia macrospinosa | salt | cucumber | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | YES
10.3389/fpls.2022.870626 | Neocamarosporium chichastianum | salt | tomato | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | NO
10.3389/fpls.2022.870626 | Neocamarosporium chichastianum | drought | tomato | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | NO
10.3389/fpls.2022.870626 | Neocamarosporium chichastianum | salt | cucumber | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | NO
10.3389/fpls.2022.870626 | Neocamarosporium chichastianum | drought | cucumber | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | NO
10.3389/fpls.2022.870626 | Neocamarosporium goegapense | salt | tomato | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | NO
10.3389/fpls.2022.870626 | Neocamarosporium goegapense | drought | tomato | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | NO
10.3389/fpls.2022.870626 | Neocamarosporium goegapense | salt | cucumber | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | NO
10.3389/fpls.2022.870626 | Neocamarosporium goegapense | drought | cucumber | "In a study conducted by Jain et al. (2020), tomato and cucumber seedlings were exposed to fungal endophytes for 96 days. These include halotolerant microbes, such as Neocamarosporium chichastianum, Neocamarosporium goegapense, and Periconia macrospinosa, which mitigate stress by increasing the levels of proline, antioxidant enzymes, and chlorophyll, as well as enhancing growth attributes. Among these, P. macrospinosa significantly reduced drought and salinity stress." | NO
10.3389/fpls.2022.870626 | Neotyphodium coenophialum | drought | Lolium arundinaceum | "Another study conducted to determine the role of the fungal endophyte Neotyphodium coenophialum when inoculated into Lolium arundinaceum under drought stress revealed that the mechanism of drought tolerance was dependent on the osmotic balance and increased water uptake efficiency, which enhanced photosynthesis and altered gene expression." | YES
10.3389/fpls.2022.870626 | Bacillus endophyticus | Drought | Oryza sativa | "In another study (Devarajan et al., 2021), rice phyllosphere bacterial strains (e.g., Bacillus endophyticus PB3, Bacillus altitudinis PB46, and Bacillus megaterium PB50) were inoculated into Oryza sativa pots in a greenhouse experiment. Drought tolerance was moderately minimized in strain PB50, resulting in significant tolerance to drought." | NO
10.3389/fpls.2022.870626 | Bacillus altitudinis | Drought | Oryza sativa | "In another study (Devarajan et al., 2021), rice phyllosphere bacterial strains (e.g., Bacillus endophyticus PB3, Bacillus altitudinis PB46, and Bacillus megaterium PB50) were inoculated into Oryza sativa pots in a greenhouse experiment. Drought tolerance was moderately minimized in strain PB50, resulting in significant tolerance to drought." | NO
10.3389/fpls.2022.870626 | Bacillus megaterium | Drought | Oryza sativa | "In another study (Devarajan et al., 2021), rice phyllosphere bacterial strains (e.g., Bacillus endophyticus PB3, Bacillus altitudinis PB46, and Bacillus megaterium PB50) were inoculated into Oryza sativa pots in a greenhouse experiment. Drought tolerance was moderately minimized in strain PB50, resulting in significant tolerance to drought." | YES
10.3389/fpls.2022.870626 | Bacillus | drought | wheat | "Plant-growth-promoting rhizobacteria such as Bacillus, Enterobacter, Moraxella, and Pseudomonas have been isolated and inoculated into drought-stressed wheat plants." | NO
10.3389/fpls.2022.870626 | Enterobacter | drought | wheat | "Plant-growth-promoting rhizobacteria such as Bacillus, Enterobacter, Moraxella, and Pseudomonas have been isolated and inoculated into drought-stressed wheat plants." | NO
10.3389/fpls.2022.870626 | Moraxella | drought | wheat | "Plant-growth-promoting rhizobacteria such as Bacillus, Enterobacter, Moraxella, and Pseudomonas have been isolated and inoculated into drought-stressed wheat plants." | NO
10.3389/fpls.2022.870626 | Pseudomonas | drought | wheat | "Plant-growth-promoting rhizobacteria such as Bacillus, Enterobacter, Moraxella, and Pseudomonas have been isolated and inoculated into drought-stressed wheat plants." | NO
10.3389/fpls.2022.870626 | Azospirillum brasilense | drought | wheat | "In a field study, Azospirillum brasilense Sp245 was inoculated into wheat seedlings, and comparisons were made between inoculated and uninoculated seedlings (Creus et al., 2004). The inoculated seeds contained a higher mineral content, with increased levels of Mg, K, and Ca, and showed improved water regulation." | YES
10.3389/fpls.2022.870626 | Acinetobacter calcoaceticus | drought | foxtail millet | "An experiment was conducted on foxtail millet crops that were subjected to drought stress, followed by inoculation with Acinetobacter calcoaceticus EU-LRNA-72 and Penicillium sp. EU-FTF-6 (Kour et al., 2020c). Plant growth attributes were measured, which showed mitigation of drought stress and physiological growth due to inoculation." | YES
10.3389/fpls.2022.870626 | Penicillium | drought | foxtail millet | "An experiment was conducted on foxtail millet crops that were subjected to drought stress, followed by inoculation with Acinetobacter calcoaceticus EU-LRNA-72 and Penicillium sp. EU-FTF-6 (Kour et al., 2020c). Plant growth attributes were measured, which showed mitigation of drought stress and physiological growth due to inoculation." | YES
10.3389/fpls.2022.870626 | Bacillus subtilis | drought | soybean | "In a randomized controlled trial (Martins et al., 2018), soybean was inoculated with Bacillus subtilis (i.e., UFGS1), Bacillus thuringiensis (i.e., UFGS2 and UFGRB2), and Bacillus cereus (i.e., UFGRB3) strains. The strains were selected based on their growth under water stress on media plates." | NO
10.3389/fpls.2022.870626 | Bacillus thuringiensis | drought | soybean | "In a randomized controlled trial (Martins et al., 2018), soybean was inoculated with Bacillus subtilis (i.e., UFGS1), Bacillus thuringiensis (i.e., UFGS2 and UFGRB2), and Bacillus cereus (i.e., UFGRB3) strains. The strains were selected based on their growth under water stress on media plates." | NO
10.3389/fpls.2022.870626 | Bacillus cereus | drought | soybean | "In a randomized controlled trial (Martins et al., 2018), soybean was inoculated with Bacillus subtilis (i.e., UFGS1), Bacillus thuringiensis (i.e., UFGS2 and UFGRB2), and Bacillus cereus (i.e., UFGRB3) strains. The strains were selected based on their growth under water stress on media plates." | NO
10.3389/fpls.2022.870626 | Glomus mosseae | drought | wheat | "In another study, two cultivars of wheat bread and durum wheat were selected and inoculated with Glomus mosseae, a strain of mycorrhizal fungi, and then subjected to water restriction (Bernardo et al., 2017)." | NO
10.3389/fpls.2022.870626 | Glomus mosseae | drought | durum wheat | "In another study, two cultivars of wheat bread and durum wheat were selected and inoculated with Glomus mosseae, a strain of mycorrhizal fungi, and then subjected to water restriction (Bernardo et al., 2017)." | NO
10.3389/fpls.2022.870626 | Glomus mosseae | Drought | Acacia gerrardii | "Drought stress negatively affects the crop quality and quantity. However, this can be mitigated through the inoculation of three species of AMF, namely, G. mosseae, Glomus etunicatum, and G. intraradices. Al-Arjani et al. (2020) isolated these three species from the rhizosphere of Acacia gerrardii and applied them to Ephedra foliata Boiss plants." | NO
