9694901 | Rhizobium | Heat | Phaseolus vulgaris | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
7344409 | Variovorax paradoxus | Drought | Triticum aestivum | -REF- assessed the ability to alleviate drought stress in wheat by using strains of Variovorax paradoxus RAA3, Pseudomonas palleroniana DPB16, and Pseudomonas sp. | NO
10745732 | Endophytic bacterium | Drought | Triticum aestivum | This work is devoted to the study of the effects of endophytic bacterium Bacillus subtilis 10-4 on the hormonal status of two wheat genotypes with contrasting drought sensitivities exposed to 12% polyethylene glycol-6000 PEG which caused osmotic stress, as well as assessment of plant growth and cell wall tolerance parameters. | NO
7923115 | Bacillus megaterium | Drought | Oryza sativa | This study assessed the potential of Bacillus endophyticus PB3, Bacillus altitudinis PB46, and Bacillus megaterium PB50 to induce drought tolerance in a susceptible rice cultivar. | NO
10381829 | Trichoderma longibrachiatum | Drought | Pinus massoniana | Trichoderma longibrachiatum Treatment Changed Osmolytes and Antioxidant Metabolism in Pinus massoniana under Drought Stress To further investigate the effect of Trichoderma longibrachiatum inoculation and drought stress on the seedling physiology, antioxidant and osmotic adjustment abilities were evaluated. | NO
8225083 | Pseudomonas putida | Heat | Triticum aestivum | -REF- investigated the effect of plant growth-promoting thermotolerant Pseudomonas putida strain AKMP7 on the growth of wheat plants to heat stress. | NO
10326438 | Pseudomonas putida kt2440 | Salt | Zea mays | Another team investigated the effects of high salinity in soybean and maize in three mutants of Pseudomonas putida KT2440. | NO
8124873 | Piriformospora indica | Cold | Musa acuminata | In this study, by using the cold-sensitive banana variety Tianbaojiao Musa acuminate as the study material, we investigated the effects of Piriformospora indica on banana cold resistance. | NO
10440431 | Rhodomonas | Cold | Rhodomonas irregularis | Based on pot experiments and metabolomics, the effects of Rhodomonas irregularis were investigated on the activities of antioxidant enzyme and metabolites in the roots of Erica nutans under cold stress 15/10°C, 16/8 h, day/night. | NO
9598349 | Bacillus subtilis | Salt | Glycine max | Considering the growth-promoting potential and other regulatory roles of bacteria, we investigated the possible mechanism of the role of Bacillus subtilis in conferring salt tolerance in soybean. | NO
10440431 | Rhodomonas | Cold | Erica nutans | Based on pot experiments and metabolomics, the effects of Rhodomonas irregularis were investigated on the activities of antioxidant enzyme and metabolites in the roots of Erica nutans under cold stress 15/10°C, 16/8 h, day/night. | NO
8945280 | Bacillus megaterium | Drought | Cicer arietinum | The UHPLC-HRMS-based metabolomics was applied to investigate the physiological and metabolic changes in two chickpea genotypes and their association with drought tolerance following treatment with the PGPR Bacillus subtilis, Bacillus thuringiensis and Bacillus megaterium in a study by Khan et al. | NO
10534068 | Nocardioides | Drought | Triticum aestivum | With these newly available mechanisms, an investigation of the Nocardioides strain under naturally stressed conditions is required to validate its capabilities as a biological input to mitigate salinity and potentially drought stress in wheat. | NO
9698407 | Azospirillum brasilense | Salt | Solanum lycopersicum | In this context, the present work is aimed at comparatively investigating the effects of microbial i.e., Azospirillum brasilense and plant-derived biostimulants in alleviating salt stress in tomato plants by adopting a multidisciplinary approach. | NO
8082249 | Trichoderma asperellum | Drought | Sugarcane | Here, we examined the effect of Trichoderma asperellum inoculation on sugarcane plant above and belowground development under drought stress and investigated the role of this fungus on inducing tolerance to drought at physiological and biochemical levels. | NO
9815931 | Glomus mosseae | Salt | Cucumis sativus | -REF- investigated the effects of AMF species, viz., Glomus etunicatum, Glomus intraradices, and Glomus mosseae able to mitigate the salinity effects on growth and yield of Cucumis sativus L. Another report on AMF species Claroideoglomus etunicatum formerly Glomus etunicatum, Funneliformis mosseae, and Rhizophagus irregularis had proven salinity mitigation ability in genotypes of wheat -REF-. | NO
7550623 | Pseudomonas | Salt | Triticum aestivum | In the present study, the specific role of phenazine production by rhizosphere-colonizing Pseudomonas in mediating the inhibitory effects of salinity on wheat seed germination and seedling growth in four different varieties was investigated using Pseudomonas chlororaphis 30-84 wild type and isogenic derivatives deficient or enhanced in phenazine production. | NO
8869415 | Actinomycetes bacterium | Salt | Solanum lycopersicum | In this study, salt tolerant deep-sea actinobacterium, Dermacoccus abyssi MT1.1T was investigated plant growth promotion and salt stress mitigation in tomato seedlings. | NO
8840115 | Enterobacter cloacae | Salt | Zea mays | In our research, rhizospheric bacteria Enterobacter cloacae PM23 was investigated regarding salinity tolerance, plant growth-promoting PGP activities, and its ability to alleviate salt stress in maize plants. | NO
8124873 | Piriformospora indica | Cold | Musa | In this study, by using the cold-sensitive banana variety Tianbaojiao Musa acuminate as the study material, we investigated the effects of Piriformospora indica on banana cold resistance. | NO
10534068 | Nocardioides | Salt | Triticum aestivum | With these newly available mechanisms, an investigation of the Nocardioides strain under naturally stressed conditions is required to validate its capabilities as a biological input to mitigate salinity and potentially drought stress in wheat. | NO
8426455 | Actinobacteria | Drought | Oryza longistaminata | S4, we investigate the changing profile under drought for all ASVs of Actinobacteria phyla in leaves, stems, roots, and rhizosphere of Oryza longistaminata. | NO
11371581 | Bacillus megaterium | Drought | Oryza sativa | Thus, this study aimed to isolate PGPR, Bacillus megaterium strains CACC109 and CACC119, from a ginseng field and investigate the mechanisms underlying PGPR-stimulated tolerance to drought stress by evaluating their plant growth-promoting activities and effects on rice growth and stress tolerance through in vitro assays, pot experiments, and physiological and molecular analyses. | NO
10326438 | Pseudomonas putida | Salt | Zea mays | Another team investigated the effects of high salinity in soybean and maize in three mutants of Pseudomonas putida KT2440. | NO
6987256 | Pantoea alhagi | Salt | Oryza sativa | To investigate the ability of the PGPB Pantoea alhagi NX-11 to promote and enhance salt tolerance in rice seedlings, we conducted hydroponic experiments in which 100 mM NaCl was added to simulate salt stress. | NO
8840115 | Enterobacter cloacae | Salt | Zea mays | The current research aims to investigate the biochemical and molecular responses of Enterobacter cloacae PM23 tolerance and its effects on maize growth under various salinity stress. | NO
7550623 | Pseudomonas chlororaphis | Salt | Triticum aestivum | In the present study, the specific role of phenazine production by rhizosphere-colonizing Pseudomonas in mediating the inhibitory effects of salinity on wheat seed germination and seedling growth in four different varieties was investigated using Pseudomonas chlororaphis 30-84 wild type and isogenic derivatives deficient or enhanced in phenazine production. | NO
11465243 | Bacillus velezensis | Drought | Oryza sativa | In this study, we investigated the effect of Bacillus velezensis strain GH1-13 on drought stress tolerance in rice. | NO
9733834 | Piriformospora indica | Salt | Phoenix dactylifera | The current study investigated the growth, as well as biochemical and molecular properties of Phoenix dactylifera colonized with the mutualistic fungus Piriformospora indica, under control and salinity stress. | NO
8869415 | Dermacoccus abyssi | Salt | Solanum lycopersicum | Therefore, we aim to investigate the potential of Dermacoccus abyssi MT1.1T to promote the growth of tomato seedlings under salt stress. | NO
7820118 | Staphylococcus | Salt | Solanum lycopersicum | The current study is aimed towards investigating the growth patterns and photosynthetic responses of rice and tomato plants upon inoculation with halotolerant PGPB Staphylococcus sciuri ET101 under salt stress conditions. | NO
8229731 | Azospirillum baldaniorum | Drought | Ocimum basilicum | Effect of Treatment with Azospirillum baldaniorum Sp245 on Leaf Pigments Leaf chlorophylls, total carotenoids, and anthocyanins were determined during the trial to investigate the effects of bacterial treatments on photosynthetic and auxiliary photoprotective pigments in purple basil plants under well-watered and water stress conditions. | NO
8869415 | Dermacoccus abyssi | Salt | Solanum lycopersicum | In this study, salt tolerant deep-sea actinobacterium, Dermacoccus abyssi MT1.1T was investigated plant growth promotion and salt stress mitigation in tomato seedlings. | NO
10884199 | Curtobacterium citreum | Drought | Zea mays | The current study investigated the potential of two bacterial strains; Bacillus subtilis SRJ4 Accession # MT367716 and Curtobacterium citreum MJ1 Accession # MT367717 to alleviate the drought related stress of different levels on maize plants. | NO
10383602 | Bacillus subtilis | Drought | Triticum aestivum | We investigated the effect of pre-sowing seed treatment with endophytic Bacillus subtilis 10-4 Bacillus subtilis on spring and winter wheat Triticum aestivum L.; cultivars Ekada-70 Ek and Scepter Sc, respectively growth and tolerance under 1–24 h of drought stress, modulated by 12% polyethylene glycol 6000 PEG. | NO
10884199 | Bacillus subtilis | Drought | Zea mays | The current study investigated the potential of two bacterial strains; Bacillus subtilis SRJ4 Accession # MT367716 and Curtobacterium citreum MJ1 Accession # MT367717 to alleviate the drought related stress of different levels on maize plants. | NO
10326438 | Pseudomonas putida kt2440 | Salt | Glycine max | Another team investigated the effects of high salinity in soybean and maize in three mutants of Pseudomonas putida KT2440. | NO
7820118 | Staphylococcus | Salt | Oryza sativa | The current study is aimed towards investigating the growth patterns and photosynthetic responses of rice and tomato plants upon inoculation with halotolerant PGPB Staphylococcus sciuri ET101 under salt stress conditions. | NO
10326438 | Pseudomonas putida | Salt | Glycine max | Another team investigated the effects of high salinity in soybean and maize in three mutants of Pseudomonas putida KT2440. | NO
8869415 | Dermacoccus abyssi | Salt | Solanum lycopersicum | In this study, we aimed to investigate the potential of deep-sea Dermacoccus abyssi MT1.1T to mitigate salt stress in tomato seedlings and identified genes related to plant growth promotion and salt stress mitigation. | NO
8945280 | Bacillus thuringiensis | Drought | Cicer arietinum | The UHPLC-HRMS-based metabolomics was applied to investigate the physiological and metabolic changes in two chickpea genotypes and their association with drought tolerance following treatment with the PGPR Bacillus subtilis, Bacillus thuringiensis and Bacillus megaterium in a study by Khan et al. | NO
9713481 | Burkholderia pyrrocinia | Salt | Arabidopsis thaliana | Out of bacterial determinants to elicit plant physiological changes, we investigated the effects of volatile organic compounds VOCs produced by Burkholderia pyrrocinia CNUC9 on growth promotion and salinity tolerance in Arabidopsis thaliana. | NO
9152913 | Actinomycetota | Salt | Glycine max | To our best of knowledge, most PGPR were investigated under salt NaCl stress, and few actinobacteria were studied its potential to prime the alkaline or saline-alkali tolerance of soybean in soda alkaline soils. | NO
10671349 | Paenibacillus polymyxa | Drought | Glycine max | -REF- conducted a study examining the efficacy of another Paenibacillus polymyxa strain strain CR1 in augmenting drought tolerance in Arabidopsis and soybean plants. | NO
11036750 | Azospirillum brasilense | Drought | Triticum aestivum | The purpose of this study was to examine how biochar acts in conjunction with t-ZR and Azospirillum brasilense and how much they can reduce the negative effects of drought stress on soil enzymatic activities in wheat plants. | NO
10785826 | Azospirillum brasilense | Salt | Oryza sativa | We also examined how their expression was regulated in rice roots upon Azospirillum brasilense treatment Azospirillum brasilense only and Azospirillum brasilense + salt -REF-. | NO
11048422 | Microbacterium azadirachtae | Salt | Zea mays | The impacts of Microbacterium azadirachtae strain CNUC13 on maize Zea mays L. germination, growth, and development with salinity were further examined. | NO
9382590 | Bacillus pumilus | Salt | Haloxylon | In this study, the effects of two halotolerant plant growth-promoting rhizobacterial strains, Bacillus pumilus HR and Zhihengliuella halotolerans SB, on physiological and nutritional status of the desert halophyte Haloxylon aphyllum under the stress of salinity 0, 300, and 600 mM NaCl and dust 0 and 1.5 g m−2 month−1 were examined. | NO
7923115 | Bacillus megaterium | Salt | Rice | The Gnotobiotic Experiment for the Study of Bacteria Colonization on the Rice Leaf and Its Role of Stomatal Modulation The leaf surface colonization by Bacillus megaterium PB50 under normal osmotic stress was examined using scanning electron microscopy SEM of leaf tissue. | NO
9382590 | Zhihengliuella halotolerans | Salt | Haloxylon | In this study, the effects of two halotolerant plant growth-promoting rhizobacterial strains, Bacillus pumilus HR and Zhihengliuella halotolerans SB, on physiological and nutritional status of the desert halophyte Haloxylon aphyllum under the stress of salinity 0, 300, and 600 mM NaCl and dust 0 and 1.5 g m−2 month−1 were examined. | NO
9310733 | Azospirillum brasilense | Salt | Zea mays | Here we report the use of radioactive carbon‐11 t ½ 20.4 min to examine the metabolic and physiological responses of Zea mays to Azospirillum brasilense HM053 inoculation while plants were subjected to salinity and low nitrogen stresses. | NO
8082249 | Trichoderma asperellum | Drought | Sugarcane | While most of the work is done on crops with a short growth cycle, little information is available on the potential of Trichoderma asperellum to act as plant growth promoters in increasing tolerance against drought stress, especially in a semi-perennial crop as sugarcane. | NO
10255858 | Rahnella aquatilis | Salt | Robinia pseudoacacia | -REF- analyzed the activities of VOCs produced by Rahnella aquatilis JZ-GX1 in Robinia pseudoacacia subjected to salt stress. | NO
10853390 | Sinorhizobium meliloti | Drought | Medicago truncatula | Most recently, it has been demonstrated that changes in nitrogenase activity as well as in global gene expression have occurred not only in nodules from Medicago truncatula and Lotus japonicum in response to drought, but also in their symbiotic partners Sinorhizobium meliloti and Mesorhizobium loti, which adjust their gene expression in response to water shortage -REF-. | NO
10516563 | Aeromonas | Salt | Oryza sativa | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
7704454 | Phytophthora | Salt | Solanum lycopersicum | On the other hand, salinity was shown to increase susceptibility in certain crops to particular pathogens as exemplified by tomato and chrysanthemum plants which are less resistant toward Phytophthora infection when grown under saline conditions -REF-. | NO
10516563 | Paraburkholderia | Salt | Zizania | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
10574504 | Cyanobacteriota | Salt | Chlamydomonas reinhardtii | Microalgae: Adaptation Strategies to Salinity Stress Include a Central Role for Amino Acids A generally accepted definition of microalgae includes an informal group of unicellular photosynthetic organisms encompassing prokaryotic e.g., cyanobacteria and eukaryotic from the model green algae Chlamydomonas reinhardtii to evolutionary enigmatic diatoms organisms. | NO
7820118 | Staphylococcus | Salt | Oryza sativa | In this article, we present data on the effects of salinity stress on photosynthesis in tomato Lycoperiscon esculentum L. and rice Oryza sativa L. under the influence of halotolerant bacteria, Staphylococcus sciuri ET101. | NO
9142908 | Glomus | Salt | Zea | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
6780275 | Bacillus | Cold | Triticum aestivum | The wheat seeds were inoculated with PGPR Bacillus and grown on MS media at 14 ± 2 °C and 25 ± 2 °C to analyze the cold stress tolerance potential of inoculated Bacillus. | NO
7704454 | Phytophthora | Salt | Chrysanthemum | On the other hand, salinity was shown to increase susceptibility in certain crops to particular pathogens as exemplified by tomato and chrysanthemum plants which are less resistant toward Phytophthora infection when grown under saline conditions -REF-. | NO
10785826 | Azospirillum | Salt | Oryza sativa | We also identified a calmodulin-related calcium sensor protein LOC_Os04g41540 upregulated in expression in salt-stressed rice roots, but not expressed in Azospirillum brasilense-treated salt-stressed plants. | NO
7704454 | Phytophthora | Salt | Arabidopsis | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
9121094 | Bacillus atrophaeus | Salt | Zea mays | The effects of Bacillus atrophaeus WZYH01 YL07 and Planococcus soli WZYH02 YL10 on the growth and development of maize Zea mays L. under salt stress ECe = 5.9 dS/m were further studied. | NO
11233480 | Potyvirus | Drought | Nicotiana benthamiana | showed that the level of SA is induced in the transgenic Arabis thaliana plants overexpressing Potyvirus Turnip mosaic virus TuMV 6K2 protein and in Nicotiana benthamiana plants infected with a viral construct overexpressing TuMV 6K2 protein under drought condition Prakash et al. | NO
8952307 | Pseudomonas syringae | Salt | Brassica oleracea var. italica | For salt, ABA and SA treatments, the roots of broccoli plants were immersed in nutrient solution containing 100 mM NaCl, 5 µM ABA and 2 mM SA, respectively, at room temperature; for heat treatment, hydroponic seedlings were transferred into a 37 °C growth chamber; for pathogen treatment, the Pseudomonas syringae pv. | NO
10786197 | Bacillus flexus | Salt | Limonium sinense | Root exudates from the salt-stressed coastal halophyte Limonium sinense promote the growth, chemotaxis and finally root colonization of the bacterium Bacillus flexus KLBMP 4941 Li et al. | NO
11355039 | Escherichia coli | Heat | Nicotiana tabacum | PtHSP18.2, when overexpressed in Escherichia coli, showed an association with the maintenance of cell viability under HS, whereas PtsHSP17.2, when overexpressed in tobacco, showed a significant increase in heat tolerance in the transgenic plants -REF-, -REF-. | NO
7688926 | Bacteriophage | Salt | Arabidopsis | Na+ contents of shoots A and roots Bacteriophage K+ contents of shoots C and roots D. K+/Na+ ratio in Arabidopsis shoots E and roots F. White, light gray, dark gray, and black bars represent CK only water, FZB42 VOCs only FZB42 VOCs, Salt only salt stress, and Salt + FZB42 VOCs salt stress + FZB42 VOCs treatments, respectively. | NO
10681223 | Metarhizium robertsii | Drought | Zea mays | Here we report the results of a greenhouse experiment to compare the effects of the interaction of endophytic colonization and deficit, adequate, and excess soil moisture on the response of maize, Zea mays L. We hypothesized that plants subjected to water deficit or excess and colonized by Metarhizium robertsii will have greater height, biomass, and chlorophyll content than non-colonized plants subjected to water stress. | NO
7402137 | Pseudomonas syringae | Cold | Arabidopsis thaliana | Transfer and expression of cold shock protein receptor to Arabidopsis thaliana can increase plant resistance to Pseudomonas syringae pv. | NO
9393590 | Stenotrophomonas rhizophila | Salt | Lygeum spartum | Some examples of HAS species that confer resistance to salt stress in plants are the halophilic bacteria Stenotrophomonas rhizophila, which inhabits the halophyte Lygeum spartum that is native to the desert environments of Algeria; Bacillus atrophaeus, which is an endophyte of the halophytes Suaeda mollis and Salsola tetrandra that are native to Algeria Salt Lakes; Jejubacter calystegiae, which is found in the halophyte Calystegia soldanella that is found on sandy beaches in South Korea; and many fungus-like microorganisms like Neocamarosporium chichastianum, N. goegapense, and Periconia macropinosa, which has been isolated from the desert halophyte Seidlitzia osmarinus collected at Hoz-e Soltan Salt Lake in Iran -REF-; -REF-; -REF-; -REF-. | NO
9393590 | Bacillus atrophaeus | Salt | Suaeda mollis | Some examples of HAS species that confer resistance to salt stress in plants are the halophilic bacteria Stenotrophomonas rhizophila, which inhabits the halophyte Lygeum spartum that is native to the desert environments of Algeria; Bacillus atrophaeus, which is an endophyte of the halophytes Suaeda mollis and Salsola tetrandra that are native to Algeria Salt Lakes; Jejubacter calystegiae, which is found in the halophyte Calystegia soldanella that is found on sandy beaches in South Korea; and many fungus-like microorganisms like Neocamarosporium chichastianum, N. goegapense, and Periconia macropinosa, which has been isolated from the desert halophyte Seidlitzia osmarinus collected at Hoz-e Soltan Salt Lake in Iran -REF-; -REF-; -REF-; -REF-. | NO
9393590 | Jejubacter calystegiae | Salt | Calystegia soldanella | Some examples of HAS species that confer resistance to salt stress in plants are the halophilic bacteria Stenotrophomonas rhizophila, which inhabits the halophyte Lygeum spartum that is native to the desert environments of Algeria; Bacillus atrophaeus, which is an endophyte of the halophytes Suaeda mollis and Salsola tetrandra that are native to Algeria Salt Lakes; Jejubacter calystegiae, which is found in the halophyte Calystegia soldanella that is found on sandy beaches in South Korea; and many fungus-like microorganisms like Neocamarosporium chichastianum, N. goegapense, and Periconia macropinosa, which has been isolated from the desert halophyte Seidlitzia osmarinus collected at Hoz-e Soltan Salt Lake in Iran -REF-; -REF-; -REF-; -REF-. | NO
9393590 | Neocamarosporium chichastianum | Salt | Seidlitzia | Some examples of HAS species that confer resistance to salt stress in plants are the halophilic bacteria Stenotrophomonas rhizophila, which inhabits the halophyte Lygeum spartum that is native to the desert environments of Algeria; Bacillus atrophaeus, which is an endophyte of the halophytes Suaeda mollis and Salsola tetrandra that are native to Algeria Salt Lakes; Jejubacter calystegiae, which is found in the halophyte Calystegia soldanella that is found on sandy beaches in South Korea; and many fungus-like microorganisms like Neocamarosporium chichastianum, N. goegapense, and Periconia macropinosa, which has been isolated from the desert halophyte Seidlitzia osmarinus collected at Hoz-e Soltan Salt Lake in Iran -REF-; -REF-; -REF-; -REF-. | NO
9268828 | Bacillus safensis | Salt | Zea mays | The aim of this research was to analyze how inoculating Bacillus safensis PM22 influences maize growth and photosynthetic pigments under normal circumstances and salt stress of 180, 240, and 300 mM. | NO
9508240 | Azotobacter | Salt | Glycyrrhiza | While considering the above explanations, the present study was aimed at identifying different Iranian licorice accessions under integrated salt stress and Azotobacter sp. | NO
8228783 | Botrytis | Salt | Solanum lycopersicum | The role of ABA in regulating the salt and Botrytis cineraria stress in tomato has already been confirmed where ABA-inducible MYB transcription factor AIM1 is involved. | NO
10145286 | Aspergillus welwitschiae | Salt | Zea mays | This study aimed to exploit the endophytic fungal microbe; Aspergillus welwitschiae BK isolate for the growth promotion of maize under severe salinity stress. | NO
9608499 | Bacillus | Salt | Triticum aestivum | The current study aimed to study the genetic potential of high halophilic Bacillus strains, isolated from the rhizosphere in the extreme environment of the Qinghai–Tibetan plateau region of China, to reduce salt stress in wheat plants. | NO
9608499 | Bacillus | Salt | Triticum aestivum | Therefore, the aim of the present study was to evaluate the potential of Bacillus strains isolated from the Qinghai–Tibet region of China to enhance plant growth and reduce the adverse effect of saline stress on wheat. | NO
7343901 | Entamoeba coli | Drought | Arabidopsis | The AtMT2 promoter was selected since it represents a general abiotic stress promoter and over-expression of MTs in various model systems like Arabidopsis, tobacco, yeast and Entamoeba coli established its functional role in homeostasis and tolerance to heavy metal ions, high salinity, drought, low temperature, heavy metal ions, ABA, and ethylene. | NO
9393590 | Actinomycetota | Salt | Schoenus arenicola | In this study, the properties of the marine actinobacteria Schoenus arenicola as a PB and bio-protector under normal and saline conditions were evaluated in tomato plants. | NO
8082249 | Trichoderma asperellum | Drought | Sugarcane | To test these hypotheses, our study evaluated the acquisition of nutrients, the concentration of photosynthetic pigments, gas exchange parameters, antioxidant metabolism, and root growth and stalk yield in sugarcane plants submitted to drought stress under application of the Trichoderma asperellum inoculant. | NO
6997531 | Pseudomonas | Drought | Viola wittrockiana | Evaluation of Two Pseudomonas Strains to Increase Plant Growth and Stress Tolerance in Ornamental Crops The two Pseudomonas strains identified in the high-throughput trial were evaluated for their ability to increase plant size and flower number in Pelvetiopsis hybrida, Impatiens walleriana, and Viola wittrockiana subjected to drought and low-nutrient conditions. | NO
10381829 | Trichoderma | Drought | Pinus massoniana | In our previous research, four endophytic Trichoderma strains were isolated from Pinus massoniana, and their drought tolerance was evaluated -REF-. | NO
10745732 | Endophytic bacterium | Drought | Triticum aestivum | A comparative analysis was conducted to evaluate the effects of seed priming with endophytic bacterium Bacillus subtilis 10-4 BS on the hormonal system and cell wall tolerance lipid peroxidation LPO, electrolyte leakage EL, and root lignin deposition of two Triticum aestivum L. wheat varieties with contrasting drought sensitivities Ekada 70—drought-tolerant DT; Salavat Yulaev—drought-sensitive DS under normal conditions and 12% polyethylene glycol-6000 PEG-induced osmotic stress. | NO
10745732 | Bacillus subtilis | Salt | Triticum aestivum | A comparative analysis was conducted to evaluate the effects of seed priming with endophytic bacterium Bacillus subtilis 10-4 BS on the hormonal system and cell wall tolerance lipid peroxidation LPO, electrolyte leakage EL, and root lignin deposition of two Triticum aestivum L. wheat varieties with contrasting drought sensitivities Ekada 70—drought-tolerant DT; Salavat Yulaev—drought-sensitive DS under normal conditions and 12% polyethylene glycol-6000 PEG-induced osmotic stress. | NO
11371581 | Bacillus megaterium | Salt | Oryza sativa | Effect of Bacillus megaterium CACC109 and CACC119 on drought tolerance. Effects of bacterial strains on rice germination and growth under osmotic-stressed and non-stressed conditions Germination and seedling growth assays were performed on rice seeds to evaluate the efficacy of the isolated bacterial strains in improving osmotic stress tolerance. | NO
6997531 | Pseudomonas | Drought | Impatiens walleriana | Evaluation of Two Pseudomonas Strains to Increase Plant Growth and Stress Tolerance in Ornamental Crops The two Pseudomonas strains identified in the high-throughput trial were evaluated for their ability to increase plant size and flower number in Pelvetiopsis hybrida, Impatiens walleriana, and Viola wittrockiana subjected to drought and low-nutrient conditions. | NO
10745732 | Endophytic bacterium | Salt | Triticum aestivum | A comparative analysis was conducted to evaluate the effects of seed priming with endophytic bacterium Bacillus subtilis 10-4 BS on the hormonal system and cell wall tolerance lipid peroxidation LPO, electrolyte leakage EL, and root lignin deposition of two Triticum aestivum L. wheat varieties with contrasting drought sensitivities Ekada 70—drought-tolerant DT; Salavat Yulaev—drought-sensitive DS under normal conditions and 12% polyethylene glycol-6000 PEG-induced osmotic stress. | NO
10745732 | Bacillus subtilis | Drought | Triticum aestivum | A comparative analysis was conducted to evaluate the effects of seed priming with endophytic bacterium Bacillus subtilis 10-4 BS on the hormonal system and cell wall tolerance lipid peroxidation LPO, electrolyte leakage EL, and root lignin deposition of two Triticum aestivum L. wheat varieties with contrasting drought sensitivities Ekada 70—drought-tolerant DT; Salavat Yulaev—drought-sensitive DS under normal conditions and 12% polyethylene glycol-6000 PEG-induced osmotic stress. | NO
9393590 | Actinomycetota | Salt | Solanum lycopersicum | In this study, the properties of the marine actinobacteria Schoenus arenicola as a PB and bio-protector under normal and saline conditions were evaluated in tomato plants. | NO
6780275 | Bacillus velezensis | Cold | Triticum aestivum | RJGP41 and CJCL2 isolated from the Qinghai-Tibet Plateau and a well reported biocontrol and plant growth promoting strain Bacillus velezensis FZB42 -REF- to evaluate their potential to alleviate cold stress in wheat. | NO
6997531 | Pseudomonas | Drought | Pelvetiopsis hybrida | Evaluation of Two Pseudomonas Strains to Increase Plant Growth and Stress Tolerance in Ornamental Crops The two Pseudomonas strains identified in the high-throughput trial were evaluated for their ability to increase plant size and flower number in Pelvetiopsis hybrida, Impatiens walleriana, and Viola wittrockiana subjected to drought and low-nutrient conditions. | NO
11371581 | Bacillus megaterium | Drought | Oryza sativa | Effect of Bacillus megaterium CACC109 and CACC119 on drought tolerance. Effects of bacterial strains on rice germination and growth under osmotic-stressed and non-stressed conditions Germination and seedling growth assays were performed on rice seeds to evaluate the efficacy of the isolated bacterial strains in improving osmotic stress tolerance. | NO
11280422 | Metarhizium robertsii | Drought | Zea mays | We conducted a greenhouse experiment in which we imposed stress from deficit and excess soil moisture and feeding by larval black cutworm BCW, Agrotis ipsilon, to maize plants that were either inoculated or not inoculated with Metarhizium robertsii Mr. We evaluated plant growth and defense indicators to determine the effects of the interaction between Mr, maize, BCW feeding, and water stress. | NO
8945280 | Bacillus megaterium | Salt | Solanum lycopersicum | -REF- evaluated changes in the metabolome of tomato plants responding to inoculation with the halotolerant PGPR strain Bacillus megaterium A12 BMA12 under salinity stress. | NO
8346029 | Synechocystis | Drought | Hordeum vulgare | To evaluate the contribution of Flv1/Flv3 to the growth of plants exposed to drought in crops, the Synechocystis genes encoding these two proteins were expressed in barley, with their products being targeted to chloroplasts -REF-. | NO
6780275 | Bacillus velezensis fzb42 | Cold | Triticum aestivum | RJGP41 and CJCL2 isolated from the Qinghai-Tibet Plateau and a well reported biocontrol and plant growth promoting strain Bacillus velezensis FZB42 -REF- to evaluate their potential to alleviate cold stress in wheat. | NO
11048422 | Microbacterium azadirachtae | Salt | Zea mays | The present study evaluated the effects of the newly isolated PGPR strain Microbacterium azadirachtae CNUC13 on the growth and development of maize plants under salt stress. | NO
10785826 | Azospirillum brasilense | Salt | Oryza sativa | We hypothesized that Azospirillum brasilense would improve rice growth under high salt stress and regulate host gene expression. | NO
10381829 | Trichoderma longibrachiatum | Drought | Pinus massoniana | Based on the aforementioned findings, it was hypothesized that the isolated Trichoderma longibrachiatum strain would enhance the drought tolerance and growth of Pinus massoniana seedlings. | NO
8082249 | Trichoderma asperellum | Drought | Sugarcane | Based on these arguments, our study hypothesized that inoculation with Trichoderma asperellum may reduce the negative effects of drought on nutrition and physiological and morphological parameters of sugarcane plants. | NO
11280422 | Metarhizium | Drought | Zea mays | We hypothesized that water stress and feeding by BCW will alter the expression of plant defense genes for pathways associated with defense against biotic and abiotic stress, and subsequently, there will be differential phytohormone content in Metarhizium robertsii-colonized and non-colonized maize. | NO
