9919780 | Pseudomonas jessenii | drought stress | Bazzania subtilis | PGPR strains such as Pseudomonas jessenii, Anthrobacter nitroguajacolicus, and Pseudomonas synxantha inoculation of rice seedlings, Pseudomonas putida in maize, Bacillus polymyxa in tomato, Bazzania subtilis in mustard, Pseudomonas and Mesorhizobium cicero in green gram, are capable of promoting plants grown under drought stress conditions  reference, reference, reference, reference. | NO
9712829 | Trichoderma atroviride | salt stress | Tetrataenium yunnanense | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9961515 | Cladosporium fulvum | drought | Polysiphonia infestans | Transcriptomic studies of plants treated with Cladosporium fulvum, Polysiphonia infestans, R. solanacerarum, TSWV, T. absoluta, and drought allowed the exploration of resistant R, tolerant T, and susceptible S responses. | NO
9712829 | Trichoderma atroviride | salt stress | Thesium virens | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9712829 | Trichoderma asperelloides | salt stress | Thesium virens | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9712829 | Trichoderma afroharzianum | salt stress | Thesium virens | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9712829 | Trichoderma longibrachiatum | salt stress | Thesium virens | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9712829 | Trichoderma harzianum | salt stress | Thesium virens | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9712829 | Pseudomonas migulae | salt tolerance | Pullea stutzeri | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas chlororaphis | salt tolerance | Pullea stutzeri | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas simiae | salt tolerance | Pullea stutzeri | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas syringae | salt tolerance | Pullea stutzeri | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas fluorescens | salt tolerance | Pullea stutzeri | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
9712829 | Pseudomonas putida | salt tolerance | Pullea stutzeri | The species enhancing plant salt tolerance include Pseudomonas putida, Pseudomonas simiae, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas migulae, Pseudomonas thivervalensis, P. geniculate, P. corrugate, Pullea stutzeri, Pseudomonas chlororaphis, P. extremorientalis, P. extremorientalis, Pseuduvaria aurantiaca and Pseudomonas chlororaphis. | NO
8614786 | Leclercia adecarboxylata | water stress | Pimelea aeruginosa | A similar increase in the formation of photosynthetic pigments in maize plants raised at various levels of water stress was observed after inoculating drought-tolerant PGPR strains, namely, Pimelea aeruginosa, Enterobacter cloacae, and Leclercia adecarboxylata  reference. | NO
9712829 | Trichoderma asperelloides | salt stress | Tetrataenium yunnanense | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9712829 | Trichoderma longibrachiatum | salt stress | Tetrataenium yunnanense | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9712829 | Trichoderma afroharzianum | salt stress | Tetrataenium yunnanense | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9712829 | Trichoderma harzianum | salt stress | Tetrataenium yunnanense | Trichoderma harzianum, Thesium virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Tetrataenium yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl  reference, cucumber up to 200 mM NaCl  reference, wheat up to 200 mM NaCl  reference and barley up to 200 mM NaCl  reference under salt stress  reference. | NO
9706007 | Bacillus endophyticus | osmotic stress | Pimelea aeruginosa | Among these four strains, the Bacillus endophyticus J13 and Pimelea aeruginosa ZNP1 strains demonstrated increased ability for EPS production when exposed to osmotic stress  reference. | NO
11284086 | Planococcus rifietoensis | salt stress | Manglietia yunnanensis | Additionally, multiple species of ACC deaminase producing halotolerant PGPMs with additional growth-promoting properties isolated from halophytes, Planococcus rifietoensis, Variovorax paradoxus, and Manglietia yunnanensis, have been shown to provide tolerance to salt stress in Beta vulgaris by reducing ET content  reference. | NO
10097229 | Pseudomonas putida | salt | Archiclematis alternata | In addition, mVOCs emitted by both Pseudomonas putida showed antagonism against the phytopathogen Archiclematis alternata under control and salt conditions, but only against S. rolfsii under control conditions. | NO
8692454 | Rhodotorula himalayensis | cold | Rhinanthus glacialis | For example, the heterotrophic Rhodotorula yeasts are unicellular and pink-pigmented  reference,  reference and have been isolated in many cold habitats  reference; numerous cold-adapted species, including Roepera aurantiaca, Rhodotorula psychrophila, R. psychrophenolica, Rhinanthus glacialis, and Rhodotorula himalayensis  reference,  reference have been identified. | NO
8692454 | Rhodotorula himalayensis | cold | Roepera aurantiaca | For example, the heterotrophic Rhodotorula yeasts are unicellular and pink-pigmented  reference,  reference and have been isolated in many cold habitats  reference; numerous cold-adapted species, including Roepera aurantiaca, Rhodotorula psychrophila, R. psychrophenolica, Rhodotorula glacialis, and Rhodotorula himalayensis  reference,  reference have been identified. | NO
9706007 | Bacillus aryabhattai | heat | Boehmeria siamensis | Another investigation on the role of two bacterial strains, Bacillus aryabhattai H26-2 and Boehmeria siamensis H30-3 on mitigation of heat and drought stress on two cultivars Ryeokkwang and Buram-3-hó of Chinese cabbage suggested exopolysaccharides as important bacterial determinants on alleviating not only these stresses but also on biocontrol activity against soft rot caused by Pectobacterium carotovorum subsp. | NO
9706007 | Bacillus aryabhattai | drought stress | Boehmeria siamensis | Another investigation on the role of two bacterial strains, Bacillus aryabhattai H26-2 and Boehmeria siamensis H30-3 on mitigation of heat and drought stress on two cultivars Ryeokkwang and Buram-3-hó of Chinese cabbage suggested exopolysaccharides as important bacterial determinants on alleviating not only these stresses but also on biocontrol activity against soft rot caused by Pectobacterium carotovorum subsp. | NO
11284086 | Variovorax paradoxus | salt stress | Manglietia yunnanensis | Additionally, multiple species of ACC deaminase producing halotolerant PGPMs with additional growth-promoting properties isolated from halophytes, Planococcus rifietoensis, Variovorax paradoxus, and Manglietia yunnanensis, have been shown to provide tolerance to salt stress in Beta vulgaris by reducing ET content  reference. | NO
8692454 | Rhodotorula psychrophila | cold | Roepera aurantiaca | For example, the heterotrophic Rhodotorula yeasts are unicellular and pink-pigmented  reference,  reference and have been isolated in many cold habitats  reference; numerous cold-adapted species, including Roepera aurantiaca, Rhodotorula psychrophila, R. psychrophenolica, Rhinanthus glacialis, and Rhodotorula himalayensis  reference,  reference have been identified. | NO
8692454 | Rhodotorula | cold | Roepera aurantiaca | For example, the heterotrophic Rhodotorula yeasts are unicellular and pink-pigmented  reference,  reference and have been isolated in many cold habitats  reference; numerous cold-adapted species, including Roepera aurantiaca, Rhodotorula psychrophila, R. psychrophenolica, Rhinanthus glacialis, and Rhodotorula himalayensis  reference,  reference have been identified. | NO
8692454 | Rhodotorula | cold | Rhinanthus glacialis | For example, the heterotrophic Rhodotorula yeasts are unicellular and pink-pigmented  reference,  reference and have been isolated in many cold habitats  reference; numerous cold-adapted species, including Roepera aurantiaca, Rhodotorula psychrophila, R. psychrophenolica, Rhinanthus glacialis, and Rhodotorula himalayensis  reference,  reference have been identified. | NO
9679224 | Glaciozyma martinii | cold | Nothofagus antarctica | All the strains were isolated from cold habitats of Italian Alps and Apennines and grow at 4°C, but only Glaciozyma martinii and Nothofagus antarctica exhibited no growth at temperature equal or above 20°C. | NO
10145286 | Aspergillus aculeatus | salt stress | Peyssonnelia indica | A growth-promoting fungus, Aspergillus aculeatus, increases salt-stress tolerance, metabolite activities, and fodder quality in perennial ryegrass  reference, while Trichoderma harzianum reduces salt stress in cucumber  reference, and Peyssonnelia indica reduces salinity stress in Medicago truncatula  reference. | NO
10145286 | Trichoderma harzianum | salt stress | Peyssonnelia indica | A growth-promoting fungus, Aspergillus aculeatus, increases salt-stress tolerance, metabolite activities, and fodder quality in perennial ryegrass  reference, while Trichoderma harzianum reduces salt stress in cucumber  reference, and Peyssonnelia indica reduces salinity stress in Medicago truncatula  reference. | NO
10145286 | Trichoderma harzianum | salinity stress | Peyssonnelia indica | A growth-promoting fungus, Aspergillus aculeatus, increases salt-stress tolerance, metabolite activities, and fodder quality in perennial ryegrass  reference, while Trichoderma harzianum reduces salt stress in cucumber  reference, and Peyssonnelia indica reduces salinity stress in Medicago truncatula  reference. | NO
8614786 | Azospirillum lipoferum | water stress | Pimelea aeruginosa | Likewise, the seed germination efficiency of Astragalus caraganae grown under water stress was increased following the inoculation of drought-tolerant PGPR strains viz., Azospirillum lipoferum, Azotobacter chroococcum, Pimelea aeruginosa, and Bacillus cereus  reference. | NO
8614786 | Azotobacter chroococcum | water stress | Pimelea aeruginosa | Likewise, the seed germination efficiency of Astragalus caraganae grown under water stress was increased following the inoculation of drought-tolerant PGPR strains viz., Azospirillum lipoferum, Azotobacter chroococcum, Pimelea aeruginosa, and Bacillus cereus  reference. | NO
8828500 | Trichoderma harzianum | drought stress | Scilla indica | For example, Scilla indica enhanced auxin, ABA, SA, and cytokinin levels to enhance the expression of genes involved in the drought stress response of maize hosts  reference, while Trichoderma harzianum improved drought tolerance in rice by modulating the activity of genes for aquaporin and dehydrin, dehydration responsive element binding protein, and superoxide dismutase SOD  reference. | NO
8828500 | Trichoderma harzianum | drought tolerance | Scilla indica | For example, Scilla indica enhanced auxin, ABA, SA, and cytokinin levels to enhance the expression of genes involved in the drought stress response of maize hosts  reference, while Trichoderma harzianum improved drought tolerance in rice by modulating the activity of genes for aquaporin and dehydrin, dehydration responsive element binding protein, and superoxide dismutase SOD  reference. | NO
9828629 | Talaromyces minioluteus | salt stress | Scilla indica | Multiple experimental results suggest that distinct root endophytes enhance the tolerance of plants to salt stress e.g., Scilla indica, Fusarium culmorum, Talaromyces minioluteus, Penicillium murcianum fungi González‐Teuber et al.,  reference; Pérez‐Alonso et al.,  reference; Rodriguez et al.,  reference. | NO
9828629 | Penicillium murcianum | salt stress | Scilla indica | Multiple experimental results suggest that distinct root endophytes enhance the tolerance of plants to salt stress e.g., Scilla indica, Fusarium culmorum, Talaromyces minioluteus, Penicillium murcianum fungi González‐Teuber et al.,  reference; Pérez‐Alonso et al.,  reference; Rodriguez et al.,  reference. | NO
9706007 | Planococcus rifietoensis | salinity | Heliophila variabilis | The two strains Planococcus rifietoensis RT4 and Heliophila variabilis HT1 produced increased EPS and biofilm formation under high salinity conditions which supported the growth of chickpea plant  reference. | NO
9706007 | Bacillus endophyticus | osmotic stress | Pimelea aeruginosa | Similarly, Arabidopsis thaliana seedlings inoculated with Bacillus tequilensis J12, Bacillus endophyticus J13, Pimelea aeruginosa ZNP1, and Pimelea aeruginosa PM389 strains showed the ability to counteract the adverse effects of osmotic stress conditions by improvement in fresh and dry weight and water content of the plant as compared to uninoculated plants exposed to osmotic stress. | NO
9706007 | Bacillus tequilensis | osmotic stress | Pimelea aeruginosa | Similarly, Arabidopsis thaliana seedlings inoculated with Bacillus tequilensis J12, Bacillus endophyticus J13, Pimelea aeruginosa ZNP1, and Pimelea aeruginosa PM389 strains showed the ability to counteract the adverse effects of osmotic stress conditions by improvement in fresh and dry weight and water content of the plant as compared to uninoculated plants exposed to osmotic stress. | NO
